country,Country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,NY.GDP.MKTP.PP.KD
ABW,Aruba,0.00581144321626671,1.556354321083573,-0.5738427619613793,-1.4068754869706357,-0.5057328673379496,0.7280189217030215,-0.12918943633817753,Low
AFG,Afghanistan,-1.7526348165894308,-3.0367445889785123,0.0669356025603835,-0.04778362011533661,0.5039138257559456,0.874428968714167,0.5923547923719872,Medium
AGO,Angola,-1.393439206607848,-2.251193831247786,0.17517639607209987,0.5968679764916862,-0.34557342150070075,-0.7038683199447888,-1.2757102051872893,Medium-High
ALB,Albania,0.2924338976809277,2.043065161441919,-0.6403545183603381,-1.735211173596309,0.821578898457724,-0.1716824505575934,0.9259476216390552,Medium-Low
AND,Andorra,0.7920924759646799,3.3180449766734905,0.022572247553876264,1.383240311645435,-0.5339677494475689,0.3550672998424794,-0.15699295375746428,Low
ARE,United Arab Emirates,1.0382645525903142,2.5849059334574966,1.3677723548990963,6.752915070182137,2.6022195100121897,0.02640575617265625,0.4686181274108415,High
ARG,Argentina,1.1092855398342631,1.9480017244170367,-0.2215183491565337,-0.36821621855717007,-0.008639417660673814,-0.7842860647458627,-0.5377648345782517,High
ARM,Armenia,0.1023949653014249,1.7719163178249853,-0.597453467916776,-1.7953269811537653,-0.7422555046695856,0.4291430614350109,0.07474112555772731,Medium
ATG,Antigua and Barbuda,-0.30143214712109634,0.9251038462413992,-0.5284631451282846,-1.256537859331838,-0.645668019522157,1.7244606192988927,2.017551472907465,Low
AUS,Australia,1.7373659259280483,2.4952558140609935,-0.03112716147692448,1.4762514438621732,-1.506554486798583,0.4151530002540479,-0.9294463200076313,High
AUT,Austria,0.8056407081491459,2.4475943599346195,-0.2781809854379926,0.14241394712897568,-0.6388370953018512,0.8355585513222283,-0.06254809055068308,Medium-High
AZE,Azerbaijan,-0.03273021940599617,1.1646705082335078,-0.3904190119435326,-1.013554304493853,0.1918493130315326,0.4781863572521174,0.30925661472041177,Medium-High
BDI,Burundi,-3.058641041214681,-4.870623832244352,0.296650364967126,1.0212768383281419,-0.5541061836285016,0.30149024406677166,-0.38559845461550457,Medium-Low
BEL,Belgium,1.0262611176334364,2.9259962627995955,-0.22858892557100563,0.2384383394160095,-0.617712233037669,0.343644489713099,-0.8007611470954349,High
BEN,Benin,-2.487348016340086,-3.7455171286140843,0.08881896266296939,0.5739778477894553,-0.10430453761934874,-0.9933119333612533,-0.759968985148046,Medium
BFA,Burkina Faso,-2.486909906895656,-4.054775675994521,0.03273568001139802,0.11076351582472133,0.0854543875584807,0.2119448979802555,0.035378567556618695,Medium
BGD,Bangladesh,0.46954704809048275,-2.5688010498700327,-0.19611529636414016,-0.33619240120881344,0.12108080375828889,1.3739982172362435,0.4627404561075376,High
BGR,Bulgaria,0.14476477226474146,1.667434677563249,-0.48358899345450257,-1.267048374718566,-0.027327443829000236,-0.3992222640171604,0.08680361973603803,Medium-High
BHR,Bahrain,0.6279787769227646,2.8896542059367336,1.1631388864491097,5.491274114327451,2.6031663140217454,-1.0910395855940158,0.3687680808620015,Medium
BHS,"Bahamas, The",0.030996464216462023,1.7650533778321553,-0.36726220731151676,-0.7907969938899643,-0.6817302389095793,-0.03580169679063774,-0.41858213570705677,Medium-Low
BIH,Bosnia and Herzegovina,-0.8343746281007417,-0.16177209765272615,-0.5781891904192944,-1.8874997771263522,-0.08644607640925701,-0.4301694797601294,0.25471560875192434,Medium
BLR,Belarus,0.10284735372086723,1.575473830873978,-0.6140720653160818,-2.217719786429823,-0.22613589073390677,-0.6670826240605973,-0.28929024515581664,Medium-High
BLZ,Belize,-0.8397846056227021,-0.10765473133856339,0.013706039069914983,0.44388854733592864,-0.07330908168012541,1.3212969256693776,0.49960698622570665,Low
BMU,Bermuda,0.7846180233384903,3.329388874067679,-0.338416851054177,-0.13616622093721928,-0.6735544578781574,-0.3128034350091181,-0.7163813944397881,Low
BOL,Bolivia,-0.6420080616781986,-0.0027574416527319607,-0.05311150341086763,-0.044059268358045606,0.25526447439766725,-0.3239233214784838,-0.39608324715321425,Medium
BRA,Brazil,3.499696878686604,0.20789286239731664,-0.3718726800156401,-0.6618969399658379,-0.00782560897613538,-1.0348966335003738,-0.601995369184311,High
BRB,Barbados,0.012298880716112947,1.6311830129189557,-0.49727576406447743,-1.2451418363861366,-0.2721981677639668,0.5975409118542259,0.38296640175294183,Low
BRN,Brunei Darussalam,0.23282430180872127,2.0406900216115056,0.0033321085060717495,1.0174441139435888,1.0057957444360133,0.1467973864337781,0.01582867292296448,Medium-Low
BTN,Bhutan,-0.46705858156228647,0.5204396124522425,0.022547354478098015,0.676397891893555,1.6233917706801153,0.7116060113619673,0.8197712484755079,Low
BWA,Botswana,-0.9885064596782734,-0.41033768134055154,-0.09965447151206468,0.213228028831948,-0.11678509736001227,-0.43832542877083003,-0.3646300686608248,Medium-Low
CAF,Central African Republic,-2.99352162129932,-4.496711937944986,-0.27906696607700077,-1.4248998368796197,0.032522198002897344,-1.4478587019186466,-0.5135240479354759,Low
CAN,Canada,1.1656980208209993,2.1457958525389103,0.08587194584316418,1.8116278373487902,-1.9275357355875697,0.5669969611697508,0.14899846918377568,High
CHE,Switzerland,1.4274358006935126,3.2808245638448446,-0.26534850677676985,0.5450364110633319,-0.6287118103829411,0.562000527730047,-1.0174674002763644,High
CHL,Chile,1.0247566885556263,2.8325451983782823,-0.2256572100282064,0.002490634757445713,-0.28331998358367166,-0.3369300705902866,-0.23899677629993085,Medium-High
CHN,China,30.090351574645865,-12.249047653574953,-1.3344791898258619,0.3733116771588344,-1.0817618618982279,-3.250893898861961,-1.6210838471428577,High
CIV,Cote d'Ivoire,-1.6904472754434672,-2.717309368512078,0.14473046112629478,0.7204906405829766,0.2407923368542164,-0.4470467018779113,-0.3273914022708597,Medium-High
CMR,Cameroon,-1.902401358530159,-2.9559604774187704,0.11995321668432411,0.5231842488115515,-0.3034216316120649,-0.43564986314026694,-0.5973540655950597,Medium
COD,"Congo, Dem. Rep.",-1.911021066191024,-4.874897888555701,0.25793809683057173,0.7266890389234067,-0.4690546463285395,-0.14735771916483814,-0.48147083825237896,Medium-High
COG,"Congo, Rep.",-1.9061383141089476,-2.2758747564475548,0.14733295889112186,0.572303899324161,-0.39011065335925604,-0.7268623010952941,-0.580518328761468,Medium-Low
COL,Colombia,0.6907881331360435,1.1943491027791788,0.04031246571773244,-0.006991257180396846,-0.40773574967698467,-0.060679056312299834,-0.30669312694329826,High
COM,Comoros,-2.464959031400271,-3.363948911454118,0.051156631470212904,0.11342259557824144,0.15368743462171577,-0.10997016415755563,-0.012417539031315315,Low
CPV,Cabo Verde,-0.10340155119464196,1.4535530914984895,-0.20909929569050795,-0.2733078920906199,0.8000537634209071,-0.9574490685091712,-0.045259154793873865,Low
CRI,Costa Rica,0.494763351282645,2.4695997612996847,-0.27967900925304606,-0.34582885757184084,-0.09158716038508409,-0.1569462589531414,-0.06068167404393592,Medium
CUW,Curacao,0.04199627423089782,1.872457098688927,-0.26765005759848354,-0.42518103781256683,-1.1380668982512914,-0.31364848375349236,-0.7242236613148554,Low
CYM,Cayman Islands,0.39718736124174725,2.8353412123794604,0.14568776802102898,2.3194865935110722,-2.69433568777616,-2.562230707420895,3.6203170122437056,Low
CYP,Cyprus,0.3352296087797842,2.3240104426664883,-0.19283638012778162,-0.3632832752906049,1.3483205202308646,2.863118302964524,-3.4150341844861223,Medium-Low
CZE,Czechia,0.5436598542477297,2.0578605493115654,-0.0988435235781313,0.7441507562174251,-1.0609803781714728,0.8901073225205648,-0.1250029582250195,Medium-High
DEU,Germany,3.7688920827799537,1.760015262347797,-0.5720239693928982,-0.09749591140357011,-1.2386980833627748,-1.2972297466456,-0.02282344392744581,High
DJI,Djibouti,-1.9752994016309418,-2.2551999131406166,-0.08923801598987637,-0.09973218853445225,-0.17047673015477935,-1.7525256321818241,-0.9555777162888569,Low
DMA,Dominica,-0.2223577381987358,1.1882963378977767,-0.421148826287502,-1.0825642198339018,0.848468267290059,-1.0070500301582677,0.24280259341397203,Low
DNK,Denmark,1.0925068085256484,3.2667456367847385,-0.29762840415735387,0.3111040113123352,-0.5031011710564077,0.007994235372227569,-0.3965992355848991,Medium-High
DOM,Dominican Republic,-0.10233288851881274,1.031018845719644,-0.17045699050965557,-0.047653467537698925,-0.18278249723032267,0.043503943428146126,-0.06499464188796966,Medium-High
DZA,Algeria,0.5673429614335003,1.1056378687125574,0.0470181277838014,0.47825633010343216,0.40201056172530125,0.031627569675675676,-0.35580635991842535,High
ECU,Ecuador,0.07998359158753474,1.18185319193666,-0.15092812814126158,-0.14769845622973243,0.009700245450451573,0.6092633931945466,0.09895092940598726,Medium-High
EGY,"Egypt, Arab Rep.",0.7545145746406727,-0.6706742301210574,-0.056954254294549665,0.22586214301247146,0.32660869892070116,1.497736617629534,0.6797067932664458,High
ESP,Spain,2.0148079963545227,2.3823184762403042,-0.25362286089100416,0.4330163678457979,-1.267110316415852,0.12686254782301223,-0.0576257715872606,High
EST,Estonia,0.19444623109832102,2.027210171885513,-0.27665530271404665,0.06100490721762496,-1.589647707705168,0.7168013791285236,0.27051314122530973,Medium
ETH,Ethiopia,-1.156937760738266,-4.391020566766902,0.08438596940744243,0.5851649760281947,-0.05887801338590148,1.157747102596309,0.3858531780333884,Medium-High
FIN,Finland,0.8434274168435989,2.8830742785167867,-0.3611825073144069,-0.11296194197309453,-0.25716839052848306,0.6041378132690345,-0.18303214917695665,Medium-High
FJI,Fiji,-1.1574171676559302,-0.7671392695861781,-0.3294178231287978,-0.7153591689812623,0.43685574305438013,-0.6503903954231783,-0.14161029850534265,Medium-Low
FRA,France,2.8717166729978136,2.239600288874387,-0.5306480211001106,-0.25031504301748203,-1.3663736878790356,-0.24533070781195224,-0.04236215195957561,High
FRO,Faroe Islands,0.010077574770096484,1.5607595929629479,-0.05419407303281995,0.47020748816813396,0.5142447019554495,1.6122426792154476,1.0691491245712743,Low
FSM,"Micronesia, Fed. Sts.",-2.0027791932499075,-2.5645499508131007,-0.43149509077955567,-1.1284126786192525,0.6207857019085051,0.1559947845859226,0.6614359128576307,Low
GAB,Gabon,-0.6630391776308672,0.3632018115073322,0.06217609164919417,0.31995942739186656,0.528806340564607,-1.7686341627303928,-0.9283882743028551,Medium-Low
GBR,United Kingdom,2.6037307651862482,1.9372425799299566,-0.292324853308132,0.5678255772029207,-1.2963377804983525,-0.08980166384707491,-0.7801508200561466,High
GEO,Georgia,-0.09240064826358528,1.302577644599366,-0.6225923064749028,-1.6342060506286498,-0.6365679794835984,0.1856157510585638,0.24805906599694966,Medium
GHA,Ghana,-1.4201664403309116,-2.252499495026823,-0.04068642289671425,0.21780338859775852,0.0061819083115884094,-0.597170241891304,-0.5372500425522341,Medium-High
GIN,Guinea,-2.7882021238205357,-4.38365158072005,0.08092635563624287,0.21075272035484754,-0.34787197341454007,-0.6029520789399211,-0.19922188832639828,Medium
GMB,"Gambia, The",-2.2526814423495805,-2.8476220805700483,0.06820772450035789,0.574094334029772,-0.5251389148851996,-1.4370247239088354,-0.6847515358254643,Low
GNB,Guinea-Bissau,-2.6865104696547766,-3.772993772010945,0.04277568317318129,0.08916625914139602,-0.30774870961903045,-0.7544081399813564,-0.5856453101289505,Low
GNQ,Equatorial Guinea,-2.1648399636245403,-2.6819521706594225,0.35324598403041363,1.3210614746833393,0.6587596939078729,-1.5962429720577962,-0.9282433418420903,Medium-Low
GRC,Greece,0.7958172350483962,2.724443046258718,-0.4650350234520153,-1.036449050831456,-0.20452660802672276,-0.013158800355078664,-0.0938031913798766,Medium-High
GRD,Grenada,-0.4696159083120712,0.607323979266773,-0.33127570264144185,-0.656573249419718,0.3630686498176614,0.6368487926254489,1.783512326687523,Low
GRL,Greenland,0.017351040554290518,1.6866059975103445,-0.10839646048144015,0.2669479771029813,1.4022220324930157,-1.2535981461717478,-0.36437666099168503,Low
GTM,Guatemala,-1.057296158918753,-1.0840167402325378,-0.07084010048161264,-0.014575950315154835,-0.1713594305756809,-0.058690253008051994,-0.20296064332493038,Medium-High
GUY,Guyana,-0.7999008873228863,-0.18601468365685847,-0.4288576027058607,-1.4410245017054932,0.487269354173284,1.6200884628947891,0.7256857784112078,Medium-Low
HKG,"Hong Kong SAR, China",1.1929817140318668,3.1159437670356502,-0.30024202747410783,0.7081151031500439,-4.139098066333863,-0.8248573453862647,0.8822988367825766,Medium-High
HND,Honduras,-1.069683443013593,-0.8036075537710821,0.021658643270985226,0.36473233302979463,-0.02376092973015455,-0.14166541660734205,-0.15250418470225638,Medium
HRV,Croatia,0.2533707716146015,1.913848130790494,-0.48157209698616077,-1.0060594857975238,-0.3123086169060959,0.799097932283167,0.5033358966552648,Medium
HTI,Haiti,-2.3424726550731725,-3.3336521860762534,-0.08266733651169211,-0.6649397420493335,0.31115145112268766,-1.4421013514596839,-0.6617281881792134,Medium-Low
HUN,Hungary,0.1625869030439282,1.9420674329632444,-0.5128403361229206,-1.755320613495872,0.9275688934356866,1.561169618384739,-2.4606376981308786,Medium-High
IDN,Indonesia,3.6076196370768034,-1.4284745868314508,2.8360016200664298,-0.9529005216268925,0.5914726250959504,0.6627843015285447,0.17379369026541805,High
